Group,WNT,WNT,SHH,SHH,Group3,Group3,Group4,Group4
Attribute,name,correlation,name,correlation,name,correlation,name,correlation
219,CTNNAL1,0.534615384615385,RARB,0.691538461538462,CSRNP3,0.870769230769231,B4GALT6,0.904615384615385
220,SORCS3,0.87,CCND1,0.617692307692308,LACTB2,0.645384615384615,TMEM86A,0.605384615384615
221,HOXD8,0.806774680936778,MID1IP1,0.62,SMARCD3,0.92,CELF4,0.724615384615385
222,EPHA7,0.728461538461538,GDAP1L1,0.512307692307692,SEPHS2,0.533076923076923,CUX2,0.516923076923077
223,C1orf74,0.586923076923077,NEO1,0.532307692307692,CSTF3,0.485384615384615,PAFAH1B1,0.691538461538462
224,CUBN,0.688461538461538,ROBO2,0.867692307692308,ZNF814,0.551538461538462,TRIM45,0.501538461538462
225,PMP22,0.750769230769231,ADK,0.651538461538462,TFB2M,0.601538461538462,PHF17,0.711538461538462
226,SVIL,0.827692307692308,MC5R,0.563392182596414,ARHGAP9,0.891538461538462,FNBP1,0.584615384615385
227,TMEM158,0.488461538461538,COL21A1,0.713846153846154,SLC29A4,0.589230769230769,PLCE1,0.596153846153846
228,MPP1,0.674615384615385,RPS6KA6,0.673846153846154,TDRD9,0.801538461538462,LHX1,0.884615384615385
229,LRRC3B,0.627692307692308,UNC13C,0.634615384615385,SHROOM3,0.696153846153846,MYCBP2,0.693076923076923
230,OSBPL5,0.491538461538462,PBX1,0.762307692307692,RP11-1085N6.3,0.823846153846154,PHTF2,0.650769230769231
231,CTSH,0.513076923076923,IGLON5,0.826923076923077,MAP7,0.858461538461538,L3MBTL3,0.648461538461539
232,EMX2,0.854615384615385,DRAM2,0.657692307692308,GAS2,0.813846153846154,SLC10A4,0.947692307692308
233,FUCA2,0.634615384615385,ASPDH,0.791538461538462,CNTNAP5,0.670769230769231,ASXL3,0.667692307692308
234,RHOU,0.716153846153846,MRPS22,0.516923076923077,PRSS12,0.572307692307692,BEX5,0.800769230769231
235,JAM3,0.558461538461538,HAPLN3,0.724615384615385,ABCB8,0.574615384615385,GTDC1,0.678461538461538
236,SKP2,0.534615384615385,TFDP2,0.733846153846154,DCT,0.907692307692308,GTF3C4,0.712307692307692
237,TMED2,0.555384615384615,LINC00632,0.696153846153846,VRK1,0.779230769230769,RP11-159G9.5,0.589230769230769
